time,top,top_middle,bottom_middle,bottom
1708219097,0,0,120,78
1708219097,0,0,136,76
1708219097,0,0,134,85
1708219097,0,0,179,74
1708219097,0,0,141,84
1708219097,0,0,107,84
1708219097,0,0,74,72
1708219098,0,0,79,61
1708219098,0,0,79,70
1708219098,1,1,57,28
1708219098,0,0,71,25
1708219098,0,0,68,21
1708219098,2,0,53,62
1708219098,0,0,44,12
1708219098,1,0,36,8
1708219098,0,0,0,0
1708219098,1,1,0,0
1708219099,0,0,0,1
1708219099,0,0,0,0
1708219099,0,0,0,0
1708219099,0,1,0,0
1708219099,1,0,0,0
1708219099,0,2,0,2
1708219099,0,0,112,1
1708219099,0,0,156,0
1708219099,0,0,144,0
1708219099,0,0,157,0
1708219100,0,1,85,0
1708219100,0,0,93,0
1708219100,0,0,79,0
1708219100,0,0,87,0
1708219100,0,0,94,0
1708219100,0,0,101,0
1708219100,0,0,132,0
1708219100,0,2,143,0
1708219100,0,1,117,1
1708219100,0,0,124,1
1708219101,0,0,116,1
1708219101,0,0,116,0
1708219101,0,1,130,0
1708219101,0,0,111,1
1708219101,0,0,117,0
1708219101,0,0,123,1
1708219101,0,0,124,1
1708219101,0,0,143,1
1708219101,0,0,145,0
1708219101,0,0,214,0
1708219102,0,0,295,51
1708219102,0,0,289,63
1708219102,0,0,221,54
1708219102,0,1,158,53
1708219102,0,1,138,51
1708219102,0,0,128,36
1708219102,0,0,90,0
1708219102,1,1,0,0
1708219102,0,0,0,0
1708219102,0,1,1,0
1708219103,0,0,4,0
1708219103,0,0,17,0
1708219103,0,0,8,0
1708219103,0,1,91,0
1708219103,0,1,143,0
1708219103,0,0,187,24
1708219103,0,0,208,35
1708219103,0,0,196,0
1708219103,0,1,172,0
1708219103,0,0,196,0
1708219104,1,0,201,0
1708219104,0,1,216,0
1708219104,0,0,150,0
1708219104,0,0,111,0
1708219104,0,0,84,0
1708219104,0,0,122,1
1708219104,0,0,170,0
1708219104,0,1,152,0
1708219104,0,0,144,0
1708219105,0,0,155,0
1708219105,0,2,132,0
1708219105,0,0,91,0
1708219105,0,0,60,0
1708219105,0,0,109,0
1708219105,0,0,123,0
1708219105,0,0,130,0
1708219105,0,0,157,0
1708219105,0,0,132,0
1708219105,1,0,139,0
1708219106,0,0,70,0
1708219106,0,0,69,1
1708219106,0,0,71,0
1708219106,0,0,91,0
1708219106,1,0,113,0
1708219106,0,0,113,0
1708219106,0,0,132,0
1708219106,1,0,119,0
1708219106,0,0,14,0
1708219106,1,1,0,0
1708219107,0,0,0,0
1708219107,0,1,0,0
1708219107,0,0,0,0
1708219107,0,0,0,2
1708219107,0,0,0,1
1708219107,0,0,143,91
1708219107,0,0,247,209
1708219107,0,0,247,181
1708219107,0,1,225,148
1708219107,0,0,223,153
1708219108,0,0,264,123
1708219108,0,0,118,89
1708219108,1,0,88,28
1708219108,0,0,61,6
1708219108,0,0,38,0
1708219108,0,0,8,0
1708219108,0,0,0,11
1708219108,0,1,0,0
1708219108,0,0,0,0
1708219108,0,0,0,0
1708219109,0,0,0,0
1708219109,0,0,0,2
1708219109,0,1,0,1
1708219109,0,0,0,0
1708219109,0,0,0,0
1708219109,0,1,0,0
1708219109,0,0,35,0
1708219109,0,0,106,124
1708219109,0,0,239,132
1708219109,1,0,307,180
1708219110,0,0,390,143
1708219110,0,0,251,66
1708219110,1,1,49,0
1708219110,1,0,0,0
1708219110,0,0,1,1
1708219110,0,0,0,0
1708219110,0,0,0,1
1708219110,0,0,0,0
1708219110,0,0,0,0
1708219110,0,0,0,0
1708219111,1,0,1,2
1708219111,0,0,148,0
1708219111,1,1,205,0
1708219111,0,0,280,2
1708219111,0,0,316,47
1708219111,0,1,338,94
1708219111,0,0,351,117
1708219111,2,0,440,209
1708219111,1,0,450,259
1708219111,0,0,370,268
1708219112,0,1,298,259
1708219112,0,0,250,234
1708219112,0,0,224,203
1708219112,1,0,205,161
1708219112,0,0,197,153
1708219112,0,0,185,152
1708219112,0,1,163,163
1708219112,0,0,232,174
1708219112,0,0,257,187
1708219112,0,0,228,207
1708219113,1,0,158,189
1708219113,0,0,72,146
1708219113,0,0,60,148
1708219113,0,0,16,93
1708219113,0,0,1,71
1708219113,0,0,0,1
1708219113,0,0,0,0
1708219113,0,2,1,0
1708219113,0,0,0,0
1708219113,0,0,0,0
1708219114,0,0,0,2
1708219114,0,0,0,0
1708219114,0,0,0,0
